ID,Allocentric Before Turn,Egocentric Turn Type,Allocentric After Turn,Timestamp Entry,Timestamp Exit,Alley Exited,Intersection,Alley Entered
365,2,1,2,3169521795,3169788414,0,B,4
366,2,1,2,3170555682,3170790021,4,C,6
367,2,2,3,3171723783,3171856012,6,D,7
368,3,1,3,3172890476,3178896713,7,H,9
369,3,2,4,3182500284,3184102464,9,L,10
370,4,1,4,3184602858,3184868867,10,K,13
371,2,4,1,3185670089,3185903850,13,K,11
372,1,1,1,3187371444,3187572538,11,G,5
373,1,2,2,3188072077,3188340077,5,C,6
374,2,2,3,3189642940,3189907996,6,D,7
375,3,1,3,3190942886,3191242735,7,H,9
376,3,2,4,3192544060,3192644314,9,L,10
377,4,1,4,3193511926,3193811408,10,K,13
378,4,1,4,3195046641,3195247300,13,J,15
379,4,2,1,3195849117,3195914187,15,I,16
380,1,1,1,3196615854,3196782036,16,E,2
381,1,2,2,3201686818,3201987627,2,A,0
382,2,1,2,3202355266,3202554423,0,B,4
383,2,1,2,3202988800,3203187690,4,C,6
384,2,2,3,3203988685,3204156496,6,D,7
385,3,2,4,3205389405,3205858678,7,H,8
386,4,2,1,3206357598,3206491887,8,G,5
387,1,2,2,3208226017,3208459354,5,C,6
388,2,2,3,3209494557,3209762112,6,D,7
389,3,1,3,3211095483,3211430027,7,H,9
390,3,2,4,3212698940,3212830678,9,L,10
391,4,1,4,3213698783,3213898243,10,K,13
392,4,1,4,3223374930,3223741757,13,J,15
393,2,4,1,3224976820,3225042700,15,J,14
394,1,1,1,3225543698,3225843906,14,F,3
395,1,2,2,3226443840,3226711666,3,B,4
396,2,1,2,3227478914,3227779180,4,C,6
397,2,2,3,3228679567,3228781302,6,D,7
398,3,1,3,3229648167,3229981001,7,H,9
399,1,4,4,3230516032,3230716129,9,H,8
400,4,2,1,3231583104,3231682711,8,G,5
401,1,2,2,3232549489,3232918205,5,C,6
402,2,2,3,3233884815,3234086051,6,D,7
403,3,1,3,3235053560,3238757677,7,H,9
404,3,2,4,3241860790,3241993428,9,L,10
405,4,1,4,3242326669,3242494589,10,K,13
406,4,2,1,3249035661,3249334897,13,J,14
407,1,2,2,3259378219,3259611156,14,F,12
408,2,1,2,3284069079,3284402591,12,G,8
409,2,2,3,3285003259,3285369605,8,H,9
410,3,2,4,3288406361,3288541506,9,L,10
411,4,1,4,3289441370,3289643140,10,K,13
412,4,2,1,3295513440,3295714610,13,J,14
413,1,1,1,3296448214,3296680728,14,F,3
414,1,2,2,3297982672,3298150640,3,B,4
415,2,3,4,3301620424,3303455965,4,C,4
416,2,1,2,3307425748,3307759274,4,C,6
417,2,2,3,3309761058,3309963140,6,D,7
418,3,1,3,3310695851,3311128742,7,H,9
419,1,4,4,3311730072,3311829467,9,H,8
420,4,2,1,3331949778,3332084077,8,G,5
421,1,2,2,3332717309,3332884109,5,C,6
422,2,2,3,3334185486,3334583461,6,D,7
423,3,1,3,3335653100,3336020588,7,H,9
424,3,2,4,3338289962,3338389402,9,L,10
425,4,1,4,3339323653,3339724138,10,K,13
426,4,2,1,3345997702,3346364254,13,J,14
427,1,1,1,3354138485,3354372729,14,F,3
428,1,2,2,3355007977,3355273999,3,B,4
429,4,1,4,3357441824,3358075418,4,B,0
430,2,2,3,3360012828,3360244005,0,B,3
431,3,2,4,3361246537,3361514187,3,F,1
432,2,2,3,3364049082,3364449964,1,F,14
433,1,2,2,3365517834,3365650202,14,F,12
434,2,1,2,3368352982,3368654339,12,G,8
435,4,2,1,3371188230,3371322693,8,G,5
436,1,2,2,3371856068,3371990165,5,C,6
437,2,2,3,3372891057,3373091161,6,D,7
438,3,1,3,3373891147,3377530970,7,H,9
439,3,2,4,3380698945,3390007468,9,L,10
440,4,1,4,3393177940,3393444465,10,K,13
441,4,1,4,3399050533,3399452233,13,J,15
442,2,4,1,3400118056,3400285180,15,J,14
443,1,1,1,3400719512,3403788773,14,F,3
444,3,2,4,3407325043,3407392709,3,F,1
445,4,2,1,3425509268,3425643723,1,E,2
446,1,2,2,3429682912,3429881393,2,A,0
447,2,1,2,3430247782,3430481619,0,B,4
448,2,1,2,3431282408,3431549816,4,C,6
449,2,2,3,3438522571,3438757543,6,D,7
450,3,1,3,3439791218,3440057707,7,H,9
451,3,2,4,3441324406,3441426012,9,L,10
452,4,1,4,3442394846,3442995170,10,K,13
453,4,2,1,3451536187,3451769485,13,J,14
454,1,2,2,3453905237,3454039230,14,F,12
455,2,1,2,3455873894,3456174534,12,G,8
456,2,2,3,3458375487,3460111229,8,H,9
457,3,2,4,3463315642,3463446988,9,L,10
458,4,1,4,3464317086,3464548245,10,K,13
459,4,1,4,3465650183,3465917486,13,J,15
460,4,2,1,3466550084,3466650263,15,I,16
461,1,1,1,3467351597,3467618159,16,E,2
462,1,2,2,3468352432,3468420364,2,A,0
463,2,1,2,3468854293,3469121778,0,B,4
464,2,1,2,3469921310,3470187732,4,C,6
465,2,2,3,3471222587,3476060227,6,D,7
466,3,1,3,3479164712,3479464680,7,H,9
467,3,2,4,3480397606,3480532021,9,L,10
468,4,1,4,3481433670,3481698971,10,K,13
469,4,2,1,3482535987,3482600052,13,J,14
470,1,1,1,3484602228,3484803112,14,F,3
471,1,2,2,3485470619,3485703293,3,B,4
472,2,1,2,3486437717,3487072270,4,C,6
473,4,4,3,3488441377,3488640511,6,C,5
474,3,1,3,3508559308,3508960070,5,G,11
475,1,2,2,3511862668,3512229286,11,G,8
476,2,2,3,3514031694,3516901147,8,H,9
477,3,2,4,3520238641,3520338971,9,L,10
478,4,1,4,3521240378,3521439595,10,K,13
479,4,2,1,3522340790,3522440493,13,J,14
480,1,4,4,3523475168,3524408886,14,F,1
481,4,2,1,3543461128,3543527306,1,E,2
482,1,2,2,3544363310,3544461794,2,A,0
483,2,1,2,3544861521,3545062554,0,B,4
484,2,3,4,3545730805,3548132099,4,C,4
485,2,1,2,3550635288,3550935482,4,C,6
486,2,2,3,3551668936,3551836748,6,D,7
487,3,1,3,3559111631,3559443035,7,H,9
488,3,2,4,3562547036,3562680536,9,L,10
489,4,1,4,3563380636,3563616281,10,K,13
490,2,4,1,3564447509,3564716100,13,K,11
491,1,1,1,3565082780,3565350369,11,G,5
492,1,2,2,3565816337,3565949590,5,C,6
493,2,2,3,3567184941,3567384486,6,D,7
494,3,2,4,3568019055,3569086873,7,H,8
495,2,4,1,3571824607,3572024436,8,H,7
496,3,2,4,3572724688,3572824842,7,H,8
497,1,0,0,3575960286,4338655986,8,0,0
498,2,1,2,4341125778,4341358680,0,B,4
499,2,1,2,4342226070,4342426273,4,C,6
500,2,2,3,4350234573,4350334841,6,D,7
501,3,2,4,4350967793,4351202510,7,H,8
502,4,1,4,4352570382,4352971326,8,G,12
503,4,1,4,4353804597,4354405664,12,F,1
504,2,2,3,4371722678,4371790713,1,F,14
505,1,2,2,4372489973,4372655901,14,F,12
506,4,2,1,4381231454,4381298302,12,F,3
507,1,2,2,4382666757,4382832224,3,B,4
508,2,1,2,4383634974,4383867537,4,C,6
509,2,2,3,4385002579,4385136296,6,D,7
510,3,1,3,4385804648,4386170195,7,H,9
511,3,2,4,4395478677,4395612759,9,L,10
512,4,1,4,4403987905,4404223296,10,K,13
513,4,1,4,4404990202,4405655854,13,J,15
514,4,2,1,4406291183,4406391151,15,I,16
515,1,1,1,4406957514,4407158113,16,E,2
516,1,2,2,4407926376,4408059854,2,A,0
517,2,1,2,4408459336,4408692005,0,B,4
518,2,1,2,4409393099,4409660548,4,C,6
519,2,2,3,4410528940,4410628127,6,D,7
520,3,1,3,4411262479,4411795242,7,H,9
521,3,2,4,4413530928,4413630773,9,L,10
522,4,1,4,4414532611,4414732324,10,K,13
523,4,1,4,4416399714,4416934759,13,J,15
524,2,4,1,4417601582,4417801591,15,J,14
525,1,1,1,4418368498,4418702727,14,F,3
526,1,2,2,4419736710,4419803027,3,B,4
527,2,1,2,4420570857,4421004831,4,C,6
528,2,2,3,4421739469,4421871231,6,D,7
529,3,2,4,4422806123,4423207385,7,H,8
530,4,2,1,4424341033,4424543103,8,G,5
531,1,2,2,4439722601,4439990560,5,C,6
532,2,2,3,4441190879,4441525293,6,D,7
533,3,1,3,4441993203,4442360624,7,H,9
534,1,4,4,4444094358,4444294282,9,H,8
535,4,2,1,4444996391,4445096121,8,G,5
536,3,2,4,4446430605,4446530735,5,G,12
537,4,2,1,4446931164,4447231595,12,F,3
538,3,2,4,4447764928,4447830911,3,F,1
539,2,2,3,4466049582,4466116640,1,F,14
540,1,2,2,4466951665,4467051580,14,F,12
541,2,1,2,4468219305,4468486901,12,G,8
542,2,2,3,4470120903,4470688067,8,H,9
543,3,2,4,4472455394,4472555873,9,L,10
544,4,1,4,4473290529,4473490890,10,K,13
545,4,1,4,4474725208,4474924853,13,J,15
546,4,2,1,4476026750,4476158983,15,I,16
547,1,1,1,4476560322,4476760455,16,E,2
548,1,2,2,4482333042,4482465685,2,A,0
549,2,1,2,4482900039,4483167105,0,B,4
550,2,1,2,4483734839,4483968155,4,C,6
551,4,4,3,4484902928,4485102502,6,C,5
552,3,2,4,4486236830,4486336509,5,G,12
553,4,1,4,4487806252,4488105235,12,F,1
554,4,2,1,4489306960,4489372888,1,E,2
555,1,2,2,4491608860,4494912429,2,A,0
556,2,1,2,4495545881,4495846494,0,B,4
557,2,1,2,4496747083,4496980899,4,C,6
558,2,2,3,4498182466,4498316629,6,D,7
559,3,1,3,4504088212,4504422411,7,H,9
560,3,2,4,4506490080,4506590158,9,L,10
561,4,1,4,4507223672,4507490501,10,K,13
562,4,1,4,4508125391,4508892631,13,J,15
563,4,2,1,4509759399,4509859418,15,I,16
564,1,1,1,4510293641,4510460425,16,E,2
